document_index,document,class
business_0,"Lufthansa flies back to profit Lufthansa has returned to profit in 2004 after posting huge losses in 2003. In a preliminary report, Lufthansa announced net profits of 400m euros ($527.61m; £274.73m), compared with a loss of 984m euros in 2003. Operating profits were at 380m euros, ten times more than in 2003. Lufthansa was hit in 2003 by tough competition and a dip in demand following the Iraq war and the killer SARS virus. Lufthansa was also hit by troubles at Lufthansa's US catering business. Last year, Lufthansa showed signs of recovery even as some European and US airlines were teetering on the brink of bankruptcy. The board of Lufthansa has recommended paying a 2004 dividend of 0.30 euros per share. In 2003, shareholders did not get a dividend. Lufthansa said that Lufthansa will give all the details of Lufthansa's 2004 results on 23 March.",business
business_1,"Japanese growth grinds to a halt Growth in Japan evaporated in the three months to September, sparking renewed concern about an economy not long out of a decade-long trough. Output in the three months to September grew just 0.1%, an annual rate of 0.3%. Exports - the usual engine of recovery - faltered, while domestic demand stayed subdued and corporate investment also fell short. The growth falls well short of expectations, but does mark a sixth straight quarter of expansion. an economy not long out of a decade-long trough had stagnated throughout the 1990s, experiencing only brief spurts of expansion amid long periods in the doldrums. One result was deflation - prices falling rather than rising - which made Japanese shoppers cautious and kept Japanese shoppers from spending. The effect was to leave an economy not long out of a decade-long trough more dependent than ever on exports for an economy not long out of a decade-long trough's recent recovery. But high oil prices have knocked 0.2% off the growth rate, while the falling dollar means products shipped to the US are becoming relatively more expensive. The performance for the third quarter marks a sharp downturn from earlier in the year. The first quarter showed annual growth of 6.3%, with the second showing 1.1%, and economists had been predicting as much as 2% this time around. ""Exports slowed while capital spending became weaker,"" said Hiromichi Shirakawa, chief economist at UBS Securities in Tokyo. ""Personal consumption looks good, but Personal consumption was mainly due to temporary factors such as the Olympics. ""The amber light is flashing."" The government may now find it more difficult to raise taxes, a policy The government will have to implement when an economy not long out of a decade-long trough picks up to help deal with Japan's massive public debt.",business
business_2,"WorldCom director admits lying The former chief financial officer at WorldCom has admitted before a New York court that The former chief financial officer at US telecoms firm WorldCom used to lie to fellow board members. Speaking at the trial of The former chief financial officer at US telecoms firm WorldCom's former boss Bernard Ebbers, The former chief financial officer at US telecoms firm WorldCom said The former chief financial officer at US telecoms firm WorldCom lied to the board to cover up the hole in WorldCom's finances. his former boss Bernard Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002. his former boss Bernard Ebbers pleads not guilty. WorldCom had been overstating WorldCom's accounts by $11bn (£8.5bn). The former chief financial officer at US telecoms firm WorldCom has already pleaded guilty to fraud and will be sentenced following his former boss Bernard Ebbers's trial, where The former chief financial officer at US telecoms firm WorldCom is appearing as a prosecution witness. his former boss Bernard Ebbers has always insisted that his former boss Bernard Ebbers was unaware of any hidden shortfalls in WorldCom's finances. In the New York court on Wednesday, his former boss Bernard Ebbers's lawyer Reid Weingarten asked The former chief financial officer at US telecoms firm WorldCom: ""If The former chief financial officer at US telecoms firm WorldCom believe something is in your interest, The former chief financial officer at US telecoms firm WorldCom are willing and able to lie to accomplish it, isn't that right?"" ""On Wednesday, yes. The former chief financial officer at US telecoms firm WorldCom was lying,"" replied The former chief financial officer at US telecoms firm WorldCom. Mr Ebbers' lawyer Reid Weingarten has suggested that The former chief financial officer at US telecoms firm WorldCom is implicating his former boss Bernard Ebbers only to win a lighter sentence, something The former chief financial officer at US telecoms firm WorldCom denies. The former chief financial officer at US telecoms firm WorldCom also rejects a suggestion that The former chief financial officer at US telecoms firm WorldCom had once told fellow WorldCom board member Bert Roberts that his former boss Bernard Ebbers was unaware of the accounting fraud at WorldCom. The trial of his former boss Bernard Ebbers is now into the trial of his former boss Bernard Ebbers's third week. Under 23 hours of questioning from a federal prosecutor, The former chief financial officer at US telecoms firm WorldCom has previously told a New York court that The former chief financial officer at US telecoms firm WorldCom repeatedly warned his former boss Bernard Ebbers that falsifying the books would be the only way to meet Wall Street revenue and earnings expectations. The former chief financial officer at US telecoms firm WorldCom claims that his former boss Bernard Ebbers refused to stop the hole in WorldCom's finances. his former boss Bernard Ebbers could face a sentence of 85 years if convicted of all the charges his former boss Bernard Ebbers is facing. WorldCom's problems appear to have begun with the collapse of the dotcom boom which cut WorldCom's business from internet companies. Prosecutors allege that WorldCom's top executives responded by orchestrating massive fraud over a two-year period. WorldCom emerged from bankruptcy protection in 2004, and is now known as MCI.",business
business_3,"Glaxo aims high after profit fall Glaxo saw Glaxo's profits fall 9% last year to £6.2bn ($11.5bn), but Glaxo says a recovery during 2005 is on the way. Cheap copies of Glaxo's drugs, particularly anti-depressants Paxil and Wellbutrin, and a weak dollar had hit profits, but global sales were up 1% in last year. Glaxo is confident Glaxo's new drug pipeline will deliver profits despite the failure of an obesity drug. Chief executive Jean-Pierre Garnier said it had been a ""difficult year"". In early afternoon trade in London the company share price was down 1% at 1218 pence. Chief executive Jean-Pierre Garnier said Glaxo had absorbed over £1.5bn of lost sales to generics but still managing to grow the business. ""The continuing success of Glaxo's key products means Glaxo can now look forward to a good performance in 2005,"" Chief executive Jean-Pierre Garnier said. ""2005 will also be an important year in terms of research and development pipeline progress."" However, Glaxo discontinued development of an obesity drug after disappointing clinical trial results. Glaxo is relying on new treatments for conditions such as cancer, diabetes, depression, HIV/AIDS and allergies to lift the pace of sales growth after several disappointing years.",business
business_4,"Peugeot deal boosts Mitsubishi Mitsubishi has struck a deal to supply Peugeot with 30,000 sports utility vehicles (SUV). The two firms signed a Memorandum of Understanding, and say The two firms expect to seal a final agreement by Spring 2005. a Memorandum of Understanding comes as a badly-needed boost for Mitsubishi, after several profit warnings and poor sales. 30,000 sports utility vehicles (SUV) will be built in Japan using Peugeot's diesel engines and sold mainly in the European market. Falling sales have left Mitsubishi with underused capacity, and the production deal with Peugeot gives Mitsubishi a chance to utilise some of underused capacity. In January, Mitsubishi issued Mitsubishi's third profits warning in nine months, and cut Mitsubishi's sales forecasts for the year to March 2005. Mitsubishi's sales have slid 41% in the past year, catalysed by the revelation that Mitsubishi had systematically been hiding records of faults and then secretly repairing vehicles. As a result, Mitsubishi has sought a series of financial bailouts. Last month Mitsubishi said Mitsubishi was looking for a further 540bn yen ($5.2bn; £2.77bn) in fresh financial backing, half of a further 540bn yen ($5.2bn; £2.77bn) in fresh financial backing from other companies in the Mitsubishi group. US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi, decided in April 2004 not to pump in any more money. The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down Last month to shoulder responsibility for Mitsubishi's troubles. Mitsubishi has forecast a net loss of 472bn yen in Mitsubishi's current financial year to March 2005. Last month, Mitsubishi signed a production agreement with Japanese rival Nissan Motor to supply Mitsubishi with 36,000 small cars for sale in Japan. Mitsubishi has been making cars for Japanese rival Nissan Motor since 2003.",business
business_5,"US adds more jobs than expected The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations. In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains. Jobs were created in every sector of The US economy except manufacturing. While the separate unemployment rate went up to 5.5% from 5.4% in September, this was because more people were now actively seeking work. The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast. In addition, Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000. the Labor Department figures had an immediate upward effect on stocks in New York, with the main Dow Jones index gaining 45.4 points to 10,360 by late morning trading. ""It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year,"" said economist Gary Thayer of AG Edwards & Sons. Other analysts said the Labor Department figures made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when the US Federal Reserve meets next week. ""the Labor Department figures should empower the US Federal Reserve to clearly do something,"" said Robert MacIntosh, chief economist with Eaton Vance Management in Boston. Kathleen Utgoff, commissioner of Labor Department, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September. The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned investors's attention to other economic factors, such as the US's record trade deficit. There is also speculation that newly re-elected President George W Bush will deliberately try to keep The dollar low in order to assist a growth in exports.",business
business_6,"German jobless rate at new record More than 5.2 million Germans were out of work in February, new figures The news. new record is the highest jobless rate in Europe's biggest economy since the 1930s. The news comes as the head of Germany's's panel of government economic advisers predicted growth would again stagnate. Speaking on German TV, the head of Germany's panel of government economic advisers said Germany's panel of government economic advisers's earlier forecast of 1.4% was too optimistic and warned growth would be just 1% in 2005. Germany's is trying to tackle the stubbornly-high levels of joblessness with a range of labour market reforms. At Germany's's centre is the ""Hartz-IV"" programme introduced in January to shake up welfare benefits and push people back into work - even if some of the jobs are heavily subsidised. new figures look set to increase the pressure on Germany's. Widely leaked to the German newspapers a day in advance, new figures produced screaming headlines criticising Chancellor Gerhard Schroeder's's Social Democrat-Green Party administration. Chancellor Gerhard Schroeder's had originally come into office promising to halve unemployment. Still, some measures suggest the picture is not quite so bleak. new record follows a change in the methodology which pushed up the jobless rate by more than 500,000 in January. Adjusted for seasonal changes, the jobless rate is 4.875 million people or 11.7%, up 0.3 percentage points from the previous month. Using the most internationally-accepted methodology of the International Labour Organisation (ILO), Germany's had 3.97 million people out of work in January. And the International Labour Organisation (ILO)-based figures also suggest that 14,000 new net jobs were created January, taking the number of people employed to 38.9 million. the International Labour Organisation (ILO) defines an unemployed person as someone who in the previous four weeks had actively looked for work someone who in the previous four weeks had actively looked for work they could take up immediately could take up immediately.",business
business_7,"Weak dollar trims Cadbury profits The world's biggest confectionery firm, Cadbury Schweppes, has reported a modest rise in profits after Weak dollar took a bite out of Cadbury's results. Underlying pre-tax profits rose 1% to £933m ($1.78bn) in 2004, but would have been 8% higher if currency movements were stripped out. The owner of brands such as Dairy Milk, Dr Pepper and Snapple generates more than 80% of Cadbury's sales outside the UK. Cadbury said Cadbury was confident Cadbury would hit Cadbury's targets for 2005. ""While the external commercial environment remains competitive, Cadbury are confident that Cadbury have the strategy, brands and people to deliver within Cadbury's goal ranges in 2005,"" said chief executive Todd Stitzer. a modest rise in profits had been expected by analysts after Cadbury said in December that the poor summer weather had hit soft drink sales in Europe. Cadbury said Cadbury's underlying sales were up by 4% in 2004. Growth was helped by Cadbury's confectionery brands - including Cadbury, Trident and Halls - which enjoyed a ""successful"" year, with like-for-like sales up 6%. Drinks sales were up 2% with strong growth in US carbonated soft drinks, led by Dr Pepper and diet drinks, offset by the weaker sales in Europe. Cadbury added that Cadbury's Fuel for Growth cost-cutting programme had saved £75m in 2004, bringing total cost savings to £100m since its Fuel for Growth cost-cutting programme began in mid-2003. its Fuel for Growth cost-cutting programme is set to close 20% of Cadbury's factories and shed 10% of the workforce. Cadbury employs more than 50,000 people worldwide, with about 7,000 in the UK.",business
business_8,"Oil prices fall back from highs Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said producers' cartel Opec was now unlikely to cut production. Following the comments by acting producers' cartel Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel. acting Opec secretary general Adnan Shihab-Eldin said that high oil prices meant producers' cartel Opec was unlikely to stick to producers' cartel Opec's plan to cut output in the second quarter. In London, Brent crude fell 32 cents to $49.74 a barrel. producers' cartel Opec members are next meeting to discuss production levels on 16 March. On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil. US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago. Cold weather across Europe has also put upward pressure on crude prices.",business
business_9,"Winn-Dixie files for bankruptcy Winn-Dixie has files for bankruptcy protection after succumbing to stiff competition in a market dominated by Wal-Mart. Winn-Dixie said bankruptcy protection would enable Winn-Dixie to successfully restructure. Winn-Dixie said Winn-Dixie's 920 stores would remain open, but analysts said Winn-Dixie would most likely off-load a number of sites. Winn-Dixie has total debts of $1.87bn (£980m). In Winn-Dixie's bankruptcy petition Winn-Dixie listed Winn-Dixie's biggest creditor as US foods giant Kraft Foods, which Winn-Dixie owes $15.1m. Analysts say Winn-Dixie had not kept up with consumers' demands and had also been burdened by a number of stores in need of upgrading. A 10-month restructuring plan was deemed a failure, and following a larger-than-expected quarterly loss earlier this month, Winn-Dixie's slide into bankruptcy was widely expected. Winn-Dixie's new chief executive Peter Lynch said Winn-Dixie would use the Chapter 11 breathing space to take the necessary action to turn Winn-Dixie around. ""the necessary action to turn itself around includes achieving significant cost reductions, improving the merchandising and customer service in all locations and generating a sense of excitement in its 920 stores,"" The company's new chief executive Peter Lynch said. Yet Evan Mann, a senior bond analyst at Gimme Credit, said The company's new chief executive Peter Lynch's job would not be easy, as bankruptcy would inevitably put off some customers. ""The real big issue is what's going to happen over the next one or two quarters now that Winn-Dixie are in bankruptcy and all Winn-Dixie's customers see this in all their customers's local newspapers,"" Evan Mann, a senior bond analyst at Gimme Credit, said.",business
